地区名称,新增耕地潜力_绝对值,高标准农田建设潜力_绝对值,低效用地潜力_绝对值,建设用地增减挂钩(拆旧复垦)潜力_绝对值,流域生态修复潜力_绝对值,造林绿化潜力_绝对值,矿山修复潜力_绝对值,新增耕地潜力_占比,高标准农田建设潜力_占比,低效用地潜力_占比,建设用地增减挂钩(拆旧复垦)潜力_占比,流域生态修复潜力_占比,造林绿化潜力_占比,矿山修复潜力_占比,新增耕地潜力_得分,高标准农田建设潜力_得分,低效用地潜力_得分,建设用地增减挂钩(拆旧复垦)潜力_得分,流域生态修复潜力_得分,造林绿化潜力_得分,矿山修复潜力_得分,Final_Density_Score
湛江坡头项目（坡头等4个单元）,5857.0861,5857.0861,919.2958,395.2941,0.0,0.0,291.2245,0.6927315632624578,0.6927315632624578,0.10872731009274589,0.046752377405110415,0.0,0.0,0.034443817232826336,4,4,3,4,1,1,5,3.4666666666666672
揭阳惠来（中部单元和东部单元）,1442.544,1442.544,0.0,176.3749,0.0,0.0,0.0,0.8910539002293444,0.8910539002293444,0.0,0.10894609977065559,0.0,0.0,0.0,5,5,1,5,1,1,1,3.400000000000001
东莞清溪,157.1633,157.1633,0.0,30.8667,0.0,0.0,0.0,0.8358416210179226,0.8358416210179226,0.0,0.16415837898207733,0.0,0.0,0.0,5,5,1,5,1,1,1,3.400000000000001
江门鹤山（简版）,4318.0467,4318.0467,881.0933,19.8067,0.0,0.0,48.3888,0.8197781781699686,0.8197781781699686,0.16727495334215944,0.003760288289971277,0.0,0.0,0.009186580197900819,5,5,4,1,1,1,4,3.4000000000000004
湛江廉江 2024年9月,16940.3094,16940.3094,672.9321,8087.0916,0.0,0.0,166.9074,0.5233337368963904,0.5233337368963904,0.020788762604922406,0.24983297339607086,0.0,0.0,0.005156238371753741,4,4,2,5,1,1,4,3.4000000000000004
湛江廉江2024年12月,16940.3094,16940.3094,672.9321,4810.6308,287.9027,287.9027,107.0,0.6944016866421969,0.6944016866421969,0.027584217867689925,0.19719298287036607,0.01180144445702051,0.01180144445702051,0.004386046247225867,4,4,2,5,1,1,3,3.333333333333334
惠州大亚湾开发（西街道、澳头街道、霞涌街道单元）,548.4318,548.4318,497.6345,17.4599,0.0,0.0,9.2028,0.5112491598530478,0.5112491598530478,0.4638958208457123,0.016276151758738696,0.0,0.0,0.008578867542501416,3,3,5,3,1,1,4,3.2000000000000006
中山古,483.4069,483.4069,250.8087,9.6794,0.0,0.0,0.0,0.6160644215258044,0.6160644215258044,0.3196361423040073,0.012335640971853879,0.0,0.0,0.0,4,4,4,2,1,1,1,3.000000000000001
韶关南雄,1551.7524,1551.7524,247.3241,0.0,0.0,0.0,0.0,0.8190319345163936,0.8190319345163936,0.13054037234002405,0.0,0.0,0.0,0.0,5,5,3,1,1,1,1,3.000000000000001
佛山三水,26092.6226,26092.6226,216.1545,663.5077,0.0,0.0,0.0,0.7673898359018109,0.7673898359018109,0.006357151936288612,0.019513909077985437,0.0,0.0,0.0,5,5,1,3,1,1,1,3.000000000000001
茂名高州,9946.8707,9946.8707,4835.33,1486.6667,0.0,0.0,20.0,0.5115579028587309,0.5115579028587309,0.24867632736292708,0.07645782500238092,0.0,0.0,0.0010285805823508512,3,3,4,4,1,1,1,3.0000000000000004
江门鹤山（鹤城单元）,633.4278,633.4278,40.7207,0.0,0.0,0.0,0.0,0.882763209092257,0.882763209092257,0.056749539266326914,0.0,0.0,0.0,0.0,5,5,2,1,1,1,1,2.8000000000000007
清远英德（九龙单元）,2308.3361,2308.3361,0.0,37.1861,0.0,0.0,0.0,0.8882206271209768,0.8882206271209768,0.0,0.014308774646024624,0.0,0.0,0.0,5,5,1,2,1,1,1,2.8000000000000007
湛江雷州（龙门单元）,7964.6391,7964.6391,0.0,704.6222,0.0,0.0,9.0645,0.6084170138155574,0.6084170138155574,0.0,0.05382593353064151,0.0,0.0,0.0006924351439516098,4,4,1,4,1,1,1,2.8000000000000007
广州黄埔,1137.8642,1137.8642,0.0,93.7407,0.0,0.0,0.0,0.6334285556506121,0.6334285556506121,0.0,0.052183763411026846,0.0,0.0,0.0,4,4,1,4,1,1,1,2.8000000000000007
韶关曲江（大塘单元）,4534.8903,4534.8903,0.0,80.75,0.0,0.0,267.5675,0.6854131677568828,0.6854131677568828,0.0,0.012204730353977535,0.0,0.0,0.04044073299056203,4,4,1,2,1,1,5,2.6666666666666674
汕尾陆丰,35613.0003,35613.0003,149.6332,298.7961,0.0,0.0,0.0,0.9361517538965808,0.9361517538965808,0.003933377739621613,0.007854392798027134,0.0,0.0,0.0,5,5,1,1,1,1,1,2.600000000000001
河源紫金无附件版,24934.7651,24934.7651,0.0,0.0,0.0,0.0,0.0,0.7607523363836581,0.7607523363836581,0.0,0.0,0.0,0.0,0.0,5,5,1,1,1,1,1,2.600000000000001
云浮郁南全域土地综整治（一期）,2586.2845,2586.2845,28.0471,2869.3474,1156.0526,1156.0526,8.3603,0.3016553856930349,0.3016553856930349,0.003271317895641844,0.3346708750078759,0.13483802456165814,0.13483802456165814,0.0009751168214515764,2,2,1,5,4,4,1,2.6
惠州龙门,6541.0499,6541.0499,8.6231,11.0269,0.0,0.0,239.3625,0.543912427790272,0.543912427790272,0.0007170425738654426,0.0009169274109956799,0.0,0.0,0.019903874834672795,4,4,1,1,1,1,5,2.4666666666666672
梅州平远（简版）,2442.1834,2442.1834,0.0,423.0323,0.0,0.0,0.0,0.4557416381561839,0.4557416381561839,0.0,0.07894306111284609,0.0,0.0,0.0,3,3,1,4,1,1,1,2.400000000000001
兴宁（黄槐等六单元）,898.5088,898.5088,519.6032,0.0,0.0,0.0,0.0,0.41872431028020324,0.41872431028020324,0.242146199947498,0.0,0.0,0.0,0.0,3,3,4,1,1,1,1,2.400000000000001
湛江遂溪（西片单元）,830.1093,830.1093,0.0,497.3033,123.5831,123.5831,0.0,0.34277627836342817,0.34277627836342817,0.0,0.20535099943085983,0.05103105709888491,0.05103105709888491,0.0,2,2,1,5,2,2,1,2.3333333333333335
梅州蕉岭,1442.3165,1442.3165,523.6464,649.0529,9300.0,9300.0,14.0376,0.10471731248513397,0.10471731248513397,0.038018592798817356,0.04712355114060084,0.6752131076027668,0.6752131076027668,0.0010191797332564083,1,1,2,4,5,5,1,2.3333333333333335
清远连南瑶族自治,702.9669,702.9669,110.4237,17.0051,0.0,0.0,0.0,0.4810912649148737,0.4810912649148737,0.07557095150508585,0.011637824012772035,0.0,0.0,0.0,3,3,3,1,1,1,1,2.200000000000001
江门台山端芬,714.7114,714.7114,115.5281,0.0,0.0,0.0,0.0,0.4878657364668736,0.4878657364668736,0.07886008476864734,0.0,0.0,0.0,0.0,3,3,3,1,1,1,1,2.200000000000001
东莞厚街,829.4,829.4,1115.8539,146.7239,0.0,0.0,0.0,0.2559647991924672,0.2559647991924672,0.34436860313676315,0.04528111116498147,0.0,0.0,0.0,1,1,5,3,1,1,1,2.2000000000000006
东莞塘厦,381.5856,381.5856,488.669,0.0,0.0,0.0,0.0,0.3163631588163194,0.3163631588163194,0.40514335041891514,0.0,0.0,0.0,0.0,2,2,5,1,1,1,1,2.2000000000000006
阳江阳东（红丰单元） - 简版,967.5375,967.5375,0.0,48.3822,0.0,0.0,0.0,0.49354740472991376,0.49354740472991376,0.0,0.02468008655491248,0.0,0.0,0.0,3,3,1,3,1,1,1,2.2000000000000006
韶关始兴（顿岗单元）,275.0119,275.0119,0.0,107.4274,0.0,0.0,0.0,0.34685798104597754,0.34685798104597754,0.0,0.13549250440805888,0.0,0.0,0.0,2,2,1,5,1,1,1,2.2000000000000006
湛江徐闻项目（曲界单元）,1815.7271,1815.7271,702.1668,80.7161,0.0,0.0,0.0,0.34054864180005356,0.34054864180005356,0.13169487312112588,0.015138705715411366,0.0,0.0,0.0,2,2,4,2,1,1,1,2.2000000000000006
江门蓬江专家评审稿,499.4446,499.4446,371.3192,115.2721,0.0,0.0,69.2664,0.07691979175726021,0.07691979175726021,0.057187114525760134,0.017753132033907413,0.0,0.0,0.010667763879667714,1,1,3,3,1,1,5,2.066666666666667
云浮云城,894.5026,894.5026,44478.45,577.2115,0.0,0.0,65.124,0.019105104144941217,0.019105104144941217,0.9499865282175374,0.012328288169489655,0.0,0.0,0.0013909415158045954,1,1,5,2,1,1,2,2.0666666666666664
新丰马头,1027.6247,1027.6247,0.0,27.8222,0.0,0.0,0.0,0.43308179005646874,0.43308179005646874,0.0,0.011725378126186615,0.0,0.0,0.0,3,3,1,2,1,1,1,2.0000000000000004
清远佛冈（水头单元）,809.7092,809.7092,4.1743,89.952,0.0,0.0,10.0604,0.4143023932048835,0.4143023932048835,0.002135856280199293,0.04602557174052818,0.0,0.0,0.00514758606744052,2,2,1,3,1,1,3,1.9333333333333333
广州增城--简本,7648.8395,7648.8395,0.0,158.0593,0.0,0.0,0.0,0.522617353784205,0.522617353784205,0.0,0.010799616478680696,0.0,0.0,0.0,3,3,1,1,1,1,1,1.8
梅州兴宁（黄槐等六单元）,898.5088,898.5088,3993.2841,0.0,0.0,0.0,0.0,0.15989108791998272,0.15989108791998272,0.7106113363859865,0.0,0.0,0.0,0.0,1,1,5,1,1,1,1,1.7999999999999998
佛山环西江-北江村高质量发展先行专项规划,1069.89,1069.89,4714.68,0.0,0.0,0.0,0.0,0.10393133997785163,0.10393133997785163,0.4579938217637117,0.0,0.0,0.0,0.0,1,1,5,1,1,1,1,1.7999999999999998
东莞凤岗,183.4923,183.4923,232.3779,0.0,0.0,0.0,3.0669,0.25154352762996024,0.25154352762996024,0.31855918046284304,0.0,0.0,0.0,0.004204311815200556,1,1,4,1,1,1,3,1.7333333333333334
汕尾红海湾经济开发,1098.2587,1098.2587,44.875,18.0868,0.0,0.0,4.5788,0.3928727562027884,0.3928727562027884,0.016052834304522357,0.006470070272958997,0.0,0.0,0.001637943570218317,2,2,2,1,1,1,2,1.6666666666666667
中山翠亨新,306.1675,306.1675,0.0,399.736,0.0,0.0,0.0,0.04768252724410481,0.04768252724410481,0.0,0.06225488567679286,0.0,0.0,0.0,1,1,1,4,1,1,1,1.6
梅州大埔,2189.2745,2189.2745,1824.4015,755.1927,0.0,0.0,76.1985,0.036070651513231376,0.036070651513231376,0.03005897649048422,0.012442611790817591,0.0,0.0,0.001255452223707425,1,1,2,2,1,1,2,1.4666666666666668
肇庆鼎湖（沙浦单元）,153.5662,153.5662,2.366,0.2533,0.0,0.0,0.0,0.36407202721089077,0.36407202721089077,0.005609270896727064,0.0006005191539057334,0.0,0.0,0.0,2,2,1,1,1,1,1,1.4
